,Best approach,Silhouette Coefficient,Calinski-Harabasz,Davies-Bouldin,Dunn-Index,Composite Score
39-features-Duval-DryA-20min-full-day,9,0.24198682734624932,817.1876532094084,1.1667513889871217,0.021456382215249634,2.0740971991649437
39-features-Mourachan-WetA-20min-full-day,9,0.3982794683778878,1628.5087090863617,0.9017459257862449,0.019295375881959353,3.0007294035477683
39-features-Rinyirru-WetB-20min-full-day,3,0.4155141867137727,2004.701100011111,0.9814710128927072,0.04313579819767377,3.9999999889990674
39-features-Undara-DryB-20min-full-day,4,0.44066395474185804,2196.5771710473578,0.8368979201069049,0.019892862360379147,3.1352724737046915
39-features-Wambiana-WetA-20min-full-day,7,0.3700103146099427,1132.0404038572951,1.0304286006633911,0.029044211036757032,2.9755190296072147
Tarcutta-DryA-20210430,3,0.3592581381246608,1095.9777812878112,1.3689873983732526,0.02740889209546448,3.7503548769468202
