,Best approach,Silhouette Coefficient,Calinski-Harabasz,Davies-Bouldin,Dunn-Index,Composite Score
39-features-Undara-DryB-20min-full-day_n_neighbors_15_min_dist_0.9,"min_cluster_size=45, min_samples=5",0.48764133,1086.1347182039874,0.5410533913530937,0.36330271858190755,3.999999997231634
39-features-Undara-DryB-20min-full-day_n_neighbors_50_min_dist_0.1,"min_cluster_size=5, min_samples=1",0.19013995,73.39581395652667,1.261952012489025,0.027398162806493976,1.313335830472023
39-features-Undara-DryB-20min-full-day_n_neighbors_50_min_dist_0.5,"min_cluster_size=25, min_samples=3",0.26940355,1298.8486521700577,0.5223756798207689,0.05770171316258936,0.08011784041909419
39-features-Undara-DryB-20min-full-day_n_neighbors_50_min_dist_0.9,"min_cluster_size=15, min_samples=2",0.773397,6681.013705513339,0.22175101450601073,1.2850554137154462,3.999999999407639
39-features-Wambiana-WetA-20min-full-day_n_neighbors_5_min_dist_0.1,"min_cluster_size=5, min_samples=1",0.33432987,97.0433540022455,1.1607085257154919,0.06247778115881553,0.13355791109728118
39-features-Wambiana-WetA-20min-full-day_n_neighbors_5_min_dist_0.5,"min_cluster_size=15, min_samples=2",0.20444778,918.0161847946487,1.1068319017772856,0.11085323449213924,0.9164837553098357
39-features-Wambiana-WetA-20min-full-day_n_neighbors_5_min_dist_0.9,"min_cluster_size=25, min_samples=3",0.27662376,839.5479905743033,1.3344809363315202,0.10256211987836426,1.724066715746816
39-features-Wambiana-WetA-20min-full-day_n_neighbors_15_min_dist_0.1,"min_cluster_size=5, min_samples=1",0.1762338,51.61443434346012,1.1880673000588318,0.04574686263428529,0.9648409826686654
39-features-Wambiana-WetA-20min-full-day_n_neighbors_15_min_dist_0.5,"min_cluster_size=35, min_samples=4",0.6888953,7699.112083765008,0.4448882330722468,0.2626808672330658,3.7506461153750696
39-features-Wambiana-WetA-20min-full-day_n_neighbors_15_min_dist_0.9,"min_cluster_size=5, min_samples=1",0.48297223,1912.9758095040675,0.6971559482723036,0.18974224538311635,1.0
