,Best approach,Silhouette Coefficient,Calinski-Harabasz,Davies-Bouldin,Dunn-Index,Composite Score
39-features-Rinyirru-WetB-20min-full-day_n_neighbors_5_min_dist_0.1,"min_cluster_size=5, min_samples=2",0.59530324,5281.2168710909,0.8996261592743213,0.040991544698902614,3.3050877866445596
39-features-Rinyirru-WetB-20min-full-day_n_neighbors_5_min_dist_0.2,"min_cluster_size=5, min_samples=2",0.5690365,4152.636410962232,0.8662237050643309,0.02155140880908554,2.48706971173853
39-features-Rinyirru-WetB-20min-full-day_n_neighbors_5_min_dist_0.3,"min_cluster_size=5, min_samples=2",0.52323574,3126.994289492624,0.9437412359694853,0.06517706223186552,2.9450926331111926
39-features-Rinyirru-WetB-20min-full-day_n_neighbors_5_min_dist_0.4,"min_cluster_size=5, min_samples=2",0.3392916,1397.1851726383593,0.6199176023641166,0.0458861560402945,2.2239693240038854
39-features-Rinyirru-WetB-20min-full-day_n_neighbors_10_min_dist_0.1,"min_cluster_size=5, min_samples=2",0.5864283,9348.755113288295,0.4994559813873603,0.052183750698104645,3.634215134442487
39-features-Rinyirru-WetB-20min-full-day_n_neighbors_10_min_dist_0.2,"min_cluster_size=5, min_samples=2",0.61133534,7734.652941785508,0.8188008791006247,0.039529079634490524,3.5840301292101673
39-features-Rinyirru-WetB-20min-full-day_n_neighbors_10_min_dist_0.3,"min_cluster_size=5, min_samples=2",0.49474305,5356.316747568101,0.7216641297679012,0.020218652868865802,3.494320341083693
39-features-Rinyirru-WetB-20min-full-day_n_neighbors_10_min_dist_0.4,"min_cluster_size=5, min_samples=2",0.56197536,1889.0311401832657,0.4479563086787347,0.3268127471733697,3.1367833369372367
39-features-Rinyirru-WetB-20min-full-day_n_neighbors_15_min_dist_0.1,"min_cluster_size=5, min_samples=2",0.6483901,8173.652758730695,0.3256096273765251,0.14479618513302972,3.444056294260487
39-features-Rinyirru-WetB-20min-full-day_n_neighbors_15_min_dist_0.2,"min_cluster_size=5, min_samples=2",0.52115893,2885.321279868499,0.4649192045175022,0.08505810889537362,3.090373108226519
39-features-Rinyirru-WetB-20min-full-day_n_neighbors_15_min_dist_0.3,"min_cluster_size=5, min_samples=2",0.47265723,3020.355063000392,0.5148278249087511,0.06027270060871654,3.9857148614991513
39-features-Rinyirru-WetB-20min-full-day_n_neighbors_15_min_dist_0.4,"min_cluster_size=5, min_samples=2",0.57881147,2122.744478640681,0.43297964085228124,0.2981842896240372,3.6806665754247696
39-features-Rinyirru-WetB-20min-full-day_n_neighbors_20_min_dist_0.1,"min_cluster_size=5, min_samples=2",0.6629338,7231.501964407464,0.34968017251573813,0.14614901341452627,3.4540612966176156
39-features-Rinyirru-WetB-20min-full-day_n_neighbors_20_min_dist_0.2,"min_cluster_size=5, min_samples=2",0.4853172,6677.311142737355,0.5621928550215118,0.02884215623577118,3.5114208138864145
39-features-Rinyirru-WetB-20min-full-day_n_neighbors_20_min_dist_0.3,"min_cluster_size=5, min_samples=2",0.48372412,2717.894842998486,0.5164473767302148,0.05531956967169711,2.6797408410198718
39-features-Rinyirru-WetB-20min-full-day_n_neighbors_20_min_dist_0.4,"min_cluster_size=5, min_samples=2",0.6440083,2750.168512246243,0.35401404310944845,0.309911156514689,3.153356808570722
39-features-Undara-DryB-20min-full-day_n_neighbors_5_min_dist_0.1,"min_cluster_size=5, min_samples=2",0.45686617,2301.0956926551175,1.1029481956030043,0.030150423724061362,3.8110157484972316
39-features-Undara-DryB-20min-full-day_n_neighbors_5_min_dist_0.2,"min_cluster_size=5, min_samples=2",0.30442244,730.5621970304235,0.8047228555039191,0.2919504731585939,3.664803308666972
39-features-Undara-DryB-20min-full-day_n_neighbors_5_min_dist_0.3,"min_cluster_size=5, min_samples=2",0.2859513,446.7757872560032,0.7210070316030776,0.20984752530790396,3.4190314970062357
39-features-Undara-DryB-20min-full-day_n_neighbors_5_min_dist_0.4,"min_cluster_size=5, min_samples=2",0.2564359,376.84954049338774,0.6972896362633774,0.2281885641991424,2.931493171972039
39-features-Undara-DryB-20min-full-day_n_neighbors_10_min_dist_0.1,"min_cluster_size=5, min_samples=2",0.36643192,2395.487007176144,0.7984766115951439,0.016728639822913234,3.6548604374122524
39-features-Undara-DryB-20min-full-day_n_neighbors_10_min_dist_0.2,"min_cluster_size=5, min_samples=2",0.3326835,486.0502415042556,0.5495932393825486,0.14306427513970588,2.3758036373808276
39-features-Undara-DryB-20min-full-day_n_neighbors_10_min_dist_0.3,"min_cluster_size=5, min_samples=2",0.405303,671.3762643401762,0.6508692145146785,0.406701521365158,3.7074117184340736
39-features-Undara-DryB-20min-full-day_n_neighbors_10_min_dist_0.4,"min_cluster_size=5, min_samples=2",0.33223882,499.7820236875547,0.779720521514919,0.3361996702664471,2.9999999967231634
39-features-Undara-DryB-20min-full-day_n_neighbors_15_min_dist_0.1,"min_cluster_size=5, min_samples=2",0.42869332,2724.426860034508,1.0360089105009138,0.00992106693755643,3.8299150119681236
39-features-Undara-DryB-20min-full-day_n_neighbors_15_min_dist_0.2,"min_cluster_size=5, min_samples=2",0.34194344,663.8013402896747,0.5817205623881563,0.10480314983413185,2.8991065558307696
39-features-Undara-DryB-20min-full-day_n_neighbors_15_min_dist_0.3,"min_cluster_size=5, min_samples=2",0.49998575,1033.2143815085813,0.5128115825947773,0.5524500540282893,3.6921276245213566
39-features-Undara-DryB-20min-full-day_n_neighbors_15_min_dist_0.4,"min_cluster_size=5, min_samples=2",0.5031597,1080.8352830433923,0.5086297116489491,0.47623407380278304,3.9999999992466195
39-features-Undara-DryB-20min-full-day_n_neighbors_20_min_dist_0.1,"min_cluster_size=5, min_samples=2",0.491583,1832.3712699869404,0.4831204890832617,0.08973460379122632,3.6791141139054453
39-features-Undara-DryB-20min-full-day_n_neighbors_20_min_dist_0.2,"min_cluster_size=5, min_samples=2",0.487871,1985.646164533563,0.4946220780637319,0.04397172720995082,3.068623880590002
39-features-Undara-DryB-20min-full-day_n_neighbors_20_min_dist_0.3,"min_cluster_size=5, min_samples=2",0.2947746,557.8233083636621,0.6338758629531365,0.06430202674038327,3.8823901047844505
