,Best approach,Silhouette Coefficient,Calinski-Harabasz,Davies-Bouldin,Dunn-Index,Composite Score
39-features-Wambiana-WetA-20min-full-day_n_neighbors_5_min_dist_0.9,ward,0.4312943,2058.765753387723,1.0851109964698769,0.02973412947357021,1.9999999977231855
39-features-Wambiana-WetA-20min-full-day_n_neighbors_15_min_dist_0.1,ward,0.6771672,4620.838980835838,0.6589536291874182,0.37953559712620266,1.9999999822481414
39-features-Wambiana-WetA-20min-full-day_n_neighbors_15_min_dist_0.5,ward,0.60595834,3715.7840513214014,0.7517695072440929,0.15987427119969344,1.9999999975060239
39-features-Wambiana-WetA-20min-full-day_n_neighbors_15_min_dist_0.9,average,0.5314574,3400.832625521489,0.7426439657398473,0.035190030621774386,2.7307637554737787
39-features-Wambiana-WetA-20min-full-day_n_neighbors_50_min_dist_0.1,ward,0.6891855,3754.714155502857,0.672912842644234,0.4690070719290619,2.057013551635149
39-features-Wambiana-WetA-20min-full-day_n_neighbors_50_min_dist_0.5,ward,0.65273434,6437.746130878921,0.5325829455008441,0.4404308892477425,1.0
39-features-Wambiana-WetA-20min-full-day_n_neighbors_50_min_dist_0.9,ward,0.61017793,4167.921763905783,0.5470900897867793,0.3875499336067256,1.0
Tarcutta-DryA-20210430_n_neighbors_5_min_dist_0.1,complete,0.60882217,3380.1485943138273,0.5245440795653461,0.44302183992709043,2.999999995422944
Tarcutta-DryA-20210430_n_neighbors_5_min_dist_0.5,single,0.5135486,2383.385534051743,0.646953158314846,0.06344960472353461,2.8385788925316175
Tarcutta-DryA-20210430_n_neighbors_5_min_dist_0.9,average,0.37244204,1474.1280192782358,0.8864795097302073,0.03542521016656307,2.8796277483519193
Tarcutta-DryA-20210430_n_neighbors_15_min_dist_0.1,single,0.594936,6621.359266322915,0.4579432086565591,0.22728369199971013,2.9999999837666844
Tarcutta-DryA-20210430_n_neighbors_15_min_dist_0.5,complete,0.4442406,3419.8007594939804,0.9115621230877479,0.02109472540805849,3.014392383379767
Tarcutta-DryA-20210430_n_neighbors_15_min_dist_0.9,average,0.33571118,1961.454852986517,0.8401606184438858,0.0396397406828841,3.0617223387083587
Tarcutta-DryA-20210430_n_neighbors_50_min_dist_0.1,average,0.6358859,9033.237024765485,0.40539963031417536,0.2702437969606259,2.999999995999674
Tarcutta-DryA-20210430_n_neighbors_50_min_dist_0.5,average,0.4054298,3562.6765827169297,0.9432397813428542,0.024073819428814015,3.0226475773898676
Tarcutta-DryA-20210430_n_neighbors_50_min_dist_0.9,complete,0.3352697,1915.9762320284028,1.0302457513149312,0.02167616841529887,2.744503328054363
