,Best approach,Silhouette Coefficient,Calinski-Harabasz,Davies-Bouldin,Dunn-Index,Composite Score
39-features-Duval-DryA-20min-full-day,"min_cluster_size=5, min_samples=2",0.5040055521576801,62.051660174701844,2.0333968501512882,0.12068491584439728,2.9080490818893945
39-features-Mourachan-WetA-20min-full-day,"min_cluster_size=5, min_samples=2",0.2653595249086491,633.5821293043921,2.777419040694425,0.046971994780958086,2.7775989305052127
39-features-Rinyirru-WetB-20min-full-day,"min_cluster_size=5, min_samples=2",0.25533304013638775,722.4546626143252,1.433135967488691,0.06607702743528697,3.2641955961728337
39-features-Undara-DryB-20min-full-day,"min_cluster_size=5, min_samples=2",0.31585827790729204,232.82731688800988,1.5854998179552744,0.10576538483572512,2.7180419920834265
39-features-Wambiana-WetA-20min-full-day,"min_cluster_size=5, min_samples=2",0.21728441533547413,687.7600836045451,1.2083248281880277,0.055204124373566005,3.788847429642357
Tarcutta-DryA-20210430,"min_cluster_size=5, min_samples=2",0.2029595222171258,481.7227942131263,1.8192389232498918,0.0471191933417912,2.1205327339659816
