,Best approach,Silhouette Coefficient,Calinski-Harabasz,Davies-Bouldin,Dunn-Index,Composite Score
39-features-Duval-DryA-20min-full-day,8,0.33046152045998445,1672.208511261233,0.8981672361542132,0.008677841391667308,2.6697227807608948
39-features-Mourachan-WetA-20min-full-day,5,0.4965038480500478,3273.8461600862784,0.6700646555220318,0.015538723101261774,3.1401506888476156
39-features-Rinyirru-WetB-20min-full-day,3,0.5426893249046826,4021.1551014795036,0.6853086449347615,0.01832891715571835,3.780231381143284
39-features-Undara-DryB-20min-full-day,4,0.5716164363335617,4603.989706836793,0.5456942404493538,0.007668943349365823,3.151699841158353
39-features-Wambiana-WetA-20min-full-day,5,0.4458435578193438,2641.5558246675164,0.8273761275093895,0.008564165042798557,2.7119931615459274
Tarcutta-DryA-20210430,3,0.4736849377647912,2127.96299758024,0.9323444494364582,0.007403503440381934,3.1853889321484194
