,Best approach,Silhouette Coefficient,Calinski-Harabasz,Davies-Bouldin,Dunn-Index,Composite Score
39-features-Duval-DryA-20min-full-day,single,0.5467540328534056,12.219351086841025,0.4454324185887562,0.26530666895260724,2.9999999986383354
39-features-Mourachan-WetA-20min-full-day,ward,0.32283732629118506,1233.8879409555645,1.2130684027286085,0.04102034322642767,2.242780129490978
39-features-Rinyirru-WetB-20min-full-day,average,0.4078613470447518,1913.8762616270121,0.9738092925934784,0.08803194177170282,3.0922658104274183
39-features-Undara-DryB-20min-full-day,ward,0.4142729868394913,1419.897350875608,0.9637958538510546,0.035848527893536604,2.1542300408867865
39-features-Wambiana-WetA-20min-full-day,ward,0.3069332430132053,1053.2012709051348,1.3529020698835,0.0559043635862253,2.0925973507588713
Tarcutta-DryA-20210430,single,0.550412014441917,9.922234079758697,0.30819251437846434,0.2897274494941009,2.9999999986993746
